curso,dia,hora
P0,1,09
P1,1,09
P2,5,15
P3,4,09
P4,9,18
P5,9,12
P6,1,12
P7,1,09
P8,4,12
P9,3,15
P10,1,09
P11,1,09
P12,10,15
P13,1,18
P14,5,09
P15,5,12
P16,1,12
P17,3,09
P18,1,12
P19,4,18
P20,3,18
P21,3,15
P22,1,12
P23,1,12
P24,2,15
P25,2,18
P26,1,12
P27,3,18
P28,1,12
P29,2,09
P30,1,12
P31,3,15
P32,3,15
P33,9,15
P34,9,15
P35,1,09
P36,1,09
P37,5,12
P38,4,18
P39,9,18
P40,4,12
P41,4,18
P42,12,15
P43,3,18
P44,1,09
P45,2,18
P46,1,12
P47,12,15
P48,9,18
P49,1,12
P50,5,18
P51,12,09
P52,12,09
P53,1,09
P54,1,09
P55,1,09
P56,10,18
P57,9,12
P58,1,12
P59,12,12
P60,4,15
P61,3,18
P62,3,15
P63,2,18
P64,5,09
P65,3,15
P66,5,18
P67,5,15
P68,1,12
P69,3,15
P70,3,18
P71,1,15
P72,1,18
P73,5,18
P74,1,09
P75,5,12
P76,4,18
P77,11,09
P78,3,18
P79,1,09
P80,5,09
P81,3,15
P82,3,18
P83,4,12
P84,1,12
P85,1,12
P86,4,15
P87,4,18
P88,1,12
P89,9,15
P90,3,15
P91,9,09
P92,3,12
P93,9,12
P94,5,12
P95,1,12
P96,10,18
P97,1,15
P98,4,09
P99,1,12
P100,4,12
P101,2,09
P102,12,18
P103,3,18
P104,4,09
P105,1,09
P106,1,12
P107,1,15
P108,5,12
P109,1,15
P110,10,18
P111,9,09
P112,11,12
P113,4,09
P114,4,09
P115,3,18
P116,10,09
P117,4,18
P118,3,12
P119,3,15
P120,3,15
P121,9,15
P122,4,12
P123,11,15
P124,12,18
P125,4,15
P126,11,15
P127,4,12
P128,4,12
P129,1,12
P130,9,15
P131,10,18
P132,12,12
P133,1,09
P134,4,09
P135,10,12
P136,11,12
P137,12,15
P138,1,09
P139,12,12
P140,9,18
P141,3,12
P142,3,18
P143,1,12
P144,3,15
P145,4,09
P146,1,15
P147,2,18
P148,9,12
P149,1,09
P150,3,15
P151,1,09
P152,2,15
P153,12,15
P154,2,18
P155,3,15
P156,1,09
P157,3,09
P158,12,15
P159,3,15
P160,3,15
P161,12,09
P162,5,15
P163,12,15
P164,1,12
P165,3,18
P166,11,09
P167,3,15
P168,2,18
P169,1,12
P170,1,09
P171,5,09
P172,2,18
P173,4,09
P174,3,12
P175,3,09
P176,1,15
P177,3,12
P178,3,18
P179,9,09
P180,2,18
P181,2,12
P182,1,12
P183,10,15
P184,2,15
P185,12,15
P186,5,09
P187,1,09
P188,1,09
P189,1,09
P190,1,09
P191,1,09
P192,1,12
P193,11,18
P194,2,09
P195,11,09
P196,3,15
P197,4,09
P198,10,18
P199,4,15
P200,4,09
P201,1,18
P202,1,09
P203,4,09
P204,2,12
P205,10,09
P206,1,09
P207,3,18
