curso,dia,hora
P0,1,09
P1,4,18
P2,4,09
P3,11,12
P4,1,09
P5,1,09
P6,1,12
P7,4,09
P8,12,09
P9,1,12
P10,1,09
P11,1,09
P12,10,12
P13,4,15
P14,10,15
P15,11,12
P16,1,09
P17,11,18
P18,3,15
P19,5,12
P20,5,09
P21,3,18
P22,1,12
P23,3,15
P24,3,18
P25,1,12
P26,5,09
P27,3,15
P28,1,09
P29,1,09
P30,2,09
P31,3,09
P32,5,09
P33,5,12
P34,2,15
P35,3,15
P36,3,18
P37,2,18
P38,11,15
P39,11,12
P40,3,18
P41,4,09
P42,4,12
P43,9,18
P44,5,12
P45,3,15
P46,11,12
P47,5,09
P48,3,15
P49,3,09
P50,12,18
P51,2,09
P52,4,18
P53,1,09
P54,9,15
P55,1,12
P56,1,18
P57,4,18
P58,5,18
P59,1,09
P60,11,18
P61,10,15
P62,1,12
P63,3,18
P64,9,12
P65,10,12
P66,9,09
P67,10,15
P68,9,15
P69,2,12
P70,10,15
P71,12,12
P72,2,18
P73,3,15
P74,11,18
P75,3,15
P76,5,09
P77,10,18
P78,10,09
P79,5,12
P80,4,12
P81,12,18
P82,5,18
P83,5,12
P84,3,15
P85,1,09
P86,5,09
P87,1,12
P88,1,18
P89,1,09
P90,1,18
P91,11,09
P92,12,12
P93,3,12
P94,4,15
P95,1,09
P96,5,09
P97,3,18
P98,5,18
P99,1,09
P100,3,15
P101,1,09
P102,5,09
P103,11,18
P104,4,12
P105,5,15
P106,10,18
P107,4,09
P108,1,12
P109,12,15
P110,5,18
P111,12,15
P112,3,18
P113,9,09
P114,1,09
P115,11,15
P116,12,09
P117,9,15
P118,2,18
P119,9,09
P120,1,12
P121,4,12
P122,10,12
P123,11,12
P124,5,12
P125,10,09
P126,1,12
P127,3,18
P128,4,09
P129,2,18
P130,3,15
P131,9,09
P132,2,12
P133,4,18
P134,11,15
P135,1,09
P136,1,12
P137,11,18
P138,1,09
P139,1,15
P140,4,09
P141,4,12
P142,3,15
P143,1,12
P144,3,15
P145,5,12
P146,10,09
P147,1,12
P148,4,09
P149,5,12
P150,1,12
P151,4,15
P152,3,15
P153,5,15
P154,4,09
P155,9,12
P156,1,09
P157,9,09
P158,4,09
P159,10,09
P160,10,09
P161,9,18
P162,4,09
P163,2,09
P164,2,09
P165,4,15
P166,4,09
P167,3,15
P168,3,15
P169,1,12
P170,1,09
P171,2,12
P172,1,12
P173,4,09
P174,2,18
P175,12,18
P176,5,15
P177,1,18
P178,10,09
P179,3,18
P180,3,18
P181,5,09
P182,3,15
P183,2,15
P184,9,12
P185,1,09
P186,9,12
P187,3,15
P188,4,12
P189,3,15
P190,1,09
P191,1,09
P192,1,12
P193,9,12
P194,3,18
P195,9,09
P196,11,15
P197,11,12
P198,12,18
P199,9,18
P200,1,12
P201,3,18
P202,5,15
P203,4,09
P204,2,15
P205,2,18
P206,1,09
P207,1,15
